Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
0,355,603,17.3,1.2,79,17199,355,603,1,79,37.44,0,0,0.002124398,0,759600,575100,318600,59400,77400,57181.30421,3979.386711,1663.312241
1095,355,603,17.3,1.2,79,17199,355,603,1,79,37.44,0,0,0.002124398,0,760500,572400,318600,62100,79200,57181.30421,3979.386711,1663.312241
-13,318,561,19.6,1.1,74,15468,318,561,1,74,40.22,0,0,0.003827532,0,698400,440100,298800,90900,128700,43569.96423,17694.22701,1810.060112
43,359,624,19.6,1.1,86,15481,359,624,1,86,40.38,0,0,0.003827532,0,738000,460800,351900,115200,141300,45398.49537,17694.22701,1810.060112
9,359,624,19.6,1.1,86,15481,359,624,1,86,40.38,0,0,0.003827532,0,744300,493200,382500,128700,150300,46968.59569,17949.19398,1810.060112
0,360,796,20.1,1.1,90,15380,360,796,1,90,40.54,0,0,0.003827532,0,718200,508500,411300,158400,174600,47911.13248,37938.41095,1810.060112
51,383,856,19.9,1.1,97,15211,383,856,1,97,40.93,0,0,0.003827532,0,651600,514800,445500,159300,187200,54710.40928,48550.93058,1810.060112
-3,577,1328,19.8,1.1,152,15402,577,1328,1,152,40.43,0,0,0.003827532,0,601200,483300,456300,153000,182700,61814.47584,51721.85956,1560.24569
-7,595,1358,19.2,1.1,156,15708,595,1358,1,156,39.8,0,0,0.003827532,0,615600,441000,447300,139500,180000,61576.84642,47254.51353,401.5838194
-44,574,1269,19.1,1.1,151,15775,574,1269,1,151,39.53,0,0,0.003827532,0,684900,416700,372600,117900,172800,52605.9569,45744.84597,210.0504002
-94,570,1337,19.3,1.1,151,15739,570,1337,1,151,39.84,0,0,0.012571158,0,711900,428400,407700,161100,203400,48834.98604,52277.19472,210.0504002
31,443,1109,19.2,1.1,122,15860,443,1109,1,122,39.61,0,0,0.012571158,0,747000,385200,386100,169200,113400,39633.87946,69926.45748,22805.93006
82,443,1109,19.2,1.1,122,15860,443,1109,1,122,39.61,0,0,0.012571158,0,723600,383400,403200,190800,130500,38713.26627,82347.55398,32371.38712
8,425,1079,19.9,1.1,119,15345,425,1079,1,119,40.75,0,0,0.012571158,0,744300,381600,424800,213300,151200,39057.7725,82356.96053,32371.38712
0,426,1154,19.9,1.1,119,15454,426,1154,1,119,40.75,0,0,0.012571158,0,747900,387000,438300,239400,186300,38953.37039,86867.05894,31979.1187
-41,426,1157,19.9,1.1,119,15454,426,1157,1,119,40.75,0,0,0.012571158,0,748800,386100,437400,238500,185400,39057.7725,86867.05894,31979.1187
-133,426,1154,19.9,1.1,119,15454,426,1154,1,119,40.75,0,0,0.012571158,0,730800,383400,438300,238500,219600,39621.07408,78970.94211,31979.1187
44,460,1197,20.2,1.1,129,15609,460,1197,1,129,40.69,0,0,0.012571158,0,723600,385200,436500,237600,231300,40101.33918,83389.80372,22413.66164
11,460,1197,20.2,1.1,129,15609,460,1197,1,129,40.69,0,0,0.012571158,0,657000,405900,452700,243900,248400,44608.9715,87963.31713,22629.65159
244,460,1197,20.2,1.1,129,15609,460,1197,1,129,40.69,0,0,0.012571158,0,646200,393300,456300,249300,262800,44723.50074,90168.96326,22629.65159
195,519,2080,20.2,1.1,143,16121,519,2080,1,143,40.97,0,0,0.012571158,0,625500,386100,466200,253800,280800,44898.23205,102430.2458,22800.53938
2,499,1881,20.5,1.1,135,16507,499,1881,1,135,41.16,0,0,0.012571158,0,599400,365400,468000,281700,293400,43840.86265,135747.5144,22854.20112
135,451,1036,21,1,129,17741,451,1036,1,129,41.48,0,0.0049041,0.002727196,0,502200,265500,551700,375300,319500,40397.71681,134640.5301,694.948737
83,440,1040,21.1,1,125,18047,440,1040,1,125,41.81,0,0.0049041,0.002727196,0,447300,259200,588600,395100,322200,45275.71746,135753.9942,694.948737
